"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","CCBASIC","UGDS","LOCALE","CCSIZSET","CONTROL","CCBASIC_words"
"109",11,"University of New Haven","Connecticut",52100,94800,52,25,"18","5041","21","14",2,"Master's Colleges & Universities: Larger Programs"
"110",12,"Central Connecticut State University","Connecticut",53100,93700,45,15,"18","9325","21","13",1,"Master's Colleges & Universities: Larger Programs"
"111",13,"University of Bridgeport","Connecticut",49900,93600,59,31,"17","3415","12","13",2,"Doctoral/Professional Universities"
"112",14,"University of Saint Joseph","Connecticut",49900,88800,63,9,"17","865","13","11",2,"Doctoral/Professional Universities"
"113",15,"Western Connecticut State University","Connecticut",51700,88100,50,6,"19","4872","13","13",1,"Master's Colleges & Universities: Medium Programs"
"114",16,"St Vincent's College","Connecticut",46800,87900,NA,0,NA,NA,NA,NA,NA,NA
"115",17,"Eastern Connecticut State University","Connecticut",49200,87800,43,14,"20","4674","31","14",1,"Master's Colleges & Universities: Small Programs"
"116",18,"Charter Oak State College","Connecticut",49200,85900,68,2,"21","1478","21","6",1,"Baccalaureate Colleges: Arts & Sciences Focus"
"117",18,"Albertus Magnus College","Connecticut",49700,85900,62,2,"19","1113","12","10",2,"Master's Colleges & Universities: Medium Programs"
"118",20,"Southern Connecticut State University","Connecticut",48500,83600,51,6,"18","7890","12","13",1,"Master's Colleges & Universities: Larger Programs"
"119",1,"University of Delaware","Delaware",58600,105400,43,22,"15","19060","21","16",1,"Doctoral Universities: Very High Research Activity"
"120",2,"Goldey-Beacom College","Delaware",49800,86900,42,25,"29","730","21","10",2,"Special Focus Four-Year: Business & Management Schools"
"121",3,"Delaware State University","Delaware",46300,81900,62,10,"16","3835","13","14",1,"Doctoral Universities: High Research Activity"
"122",4,"Wesley College","Delaware",45400,77300,50,2,"22","1163","13","11",2,"Baccalaureate Colleges: Diverse Fields"
"123",5,"Wilmington University","Delaware",45100,76600,50,4,"17","8377","21","12",2,"Doctoral/Professional Universities"
"124",1,"Embry-Riddle Aeronautical University-Daytona Beach","Florida",63300,111200,58,35,"19","5925","13","13",2,"Master's Colleges & Universities: Medium Programs"
"125",2,"Polytechnic University of Puerto Rico-Miami","Florida",60600,108300,61,10,"29","73","21","6",2,"Special Focus Four-Year: Business & Management Schools"
"126",3,"Florida Institute of Technology","Florida",58300,105400,53,48,"16","3411","13","14",2,"Doctoral Universities: High Research Activity"
"127",4,"University of Florida","Florida",55800,102800,52,29,"15","34564","12","16",1,"Doctoral Universities: Very High Research Activity"
"128",5,"Polytechnic University of Puerto Rico-Orlando","Florida",57600,102200,66,29,"29","165","21","6",2,"Special Focus Four-Year: Business & Management Schools"
"129",6,"University of Miami","Florida",56200,99600,48,22,"15","10873","21","16",2,"Doctoral Universities: Very High Research Activity"
"130",7,"Embry-Riddle Aeronautical University-Worldwide","Florida",55800,96800,67,3,"28","10254","13","12",2,"Special Focus Four-Year: Other Technology-Related Schools"
"131",8,"Florida State University","Florida",50800,92700,49,18,"15","32072","12","15",1,"Doctoral Universities: Very High Research Activity"
"132",9,"The University of Tampa","Florida",49200,91500,48,8,"18","8422","11","14",2,"Master's Colleges & Universities: Larger Programs"
"133",10,"University of South Florida-Main Campus","Florida",49700,91300,49,25,"15","31321","11","15",1,"Doctoral Universities: Very High Research Activity"
"134",11,"Florida Atlantic University","Florida",49400,91200,51,15,"16","23265","13","15",1,"Doctoral Universities: High Research Activity"
"135",12,"Jacksonville University","Florida",50100,90400,66,5,"18","2838","11","13",2,"Master's Colleges & Universities: Larger Programs"
"136",13,"Florida International University","Florida",49600,90100,51,16,"15","41777","21","15",1,"Doctoral Universities: Very High Research Activity"
"137",14,"Adventist University of Health Sciences","Florida",51600,89800,88,5,NA,NA,NA,NA,NA,NA
"138",14,"Nova Southeastern University","Florida",50200,89800,60,9,"16","4856","21","16",2,"Doctoral Universities: High Research Activity"
"139",16,"University of Central Florida","Florida",49700,88600,50,16,"15","58392","21","15",1,"Doctoral Universities: Very High Research Activity"
"140",17,"Eckerd College","Florida",49200,88400,52,25,"21","1987","11","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"141",18,"Rollins College","Florida",49000,87000,53,7,"18","2571","21","11",2,"Master's Colleges & Universities: Larger Programs"
"142",19,"University of North Florida","Florida",48800,86600,51,11,"17","14223","11","16",1,"Doctoral/Professional Universities"
"143",20,"New College of Florida","Florida",47300,86500,40,4,"21","808","13","8",1,"Baccalaureate Colleges: Arts & Sciences Focus"
"144",21,"Stetson University","Florida",47000,86000,44,7,"18","3124","22","14",2,"Master's Colleges & Universities: Larger Programs"
"145",22,"Lynn University","Florida",46100,85000,45,2,"18","2194","13","11",2,"Master's Colleges & Universities: Larger Programs"
"146",23,"St Thomas University","Florida",47400,84500,57,4,NA,NA,NA,NA,NA,NA
"147",24,"Barry University","Florida",47400,84400,66,12,"17","3368","21","13",2,"Doctoral/Professional Universities"
"148",25,"Florida Agricultural and Mechanical University","Florida",48000,83900,62,8,"16","7711","12","13",1,"Doctoral Universities: High Research Activity"
"149",1,"Georgia Institute of Technology-Main Campus","Georgia",72700,133400,48,80,"15","15201","11","17",1,"Doctoral Universities: Very High Research Activity"
"150",2,"Emory University","Georgia",62000,110800,44,20,"15","6975","11","17",2,"Doctoral Universities: Very High Research Activity"
"151",3,"University of Georgia","Georgia",54400,100700,45,14,"15","29474","12","16",1,"Doctoral Universities: Very High Research Activity"
"152",4,"Morehouse College","Georgia",55700,98700,58,26,"21","2205","11","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"153",5,"Kennesaw State University","Georgia",52500,94600,46,22,"16","31511","21","15",1,"Doctoral Universities: High Research Activity"
"154",6,"Oglethorpe University","Georgia",52400,91400,50,12,"21","1241","21","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"155",7,"Georgia State University","Georgia",50600,90800,47,18,"15","26489","11","15",1,"Doctoral Universities: Very High Research Activity"
"156",8,"Georgia Southern University","Georgia",49000,88000,49,17,"16","22239","32","16",1,"Doctoral Universities: High Research Activity"
"157",9,"University of North Georgia","Georgia",47300,85600,51,8,"19","17661","31","15",1,"Master's Colleges & Universities: Medium Programs"
"158",10,"Spelman College","Georgia",50200,85400,52,24,"21","2166","11","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"159",11,"Mercer University","Georgia",48500,85100,62,14,"16","4765","12","13",2,"Doctoral Universities: High Research Activity"
"160",12,"Berry College","Georgia",44900,84900,44,21,"20","1913","41","11",2,"Master's Colleges & Universities: Small Programs"
"161",13,"Augusta University","Georgia",47000,84400,69,10,"17","5146","12","12",1,"Doctoral/Professional Universities"
"162",14,"Agnes Scott College","Georgia",46000,83600,57,26,"21","966","21","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"163",15,"University of West Georgia","Georgia",46700,82700,51,9,"17","10448","31","16",1,"Doctoral/Professional Universities"
"164",16,"Armstrong State University","Georgia",46600,81500,60,10,NA,NA,NA,NA,NA,NA
"165",17,"Clayton  State University","Georgia",46400,81200,54,9,"19","5630","21","12",1,"Master's Colleges & Universities: Medium Programs"
"166",18,"Clark Atlanta University","Georgia",46300,81100,54,15,"16","3320","11","14",2,"Doctoral Universities: High Research Activity"
"167",19,"Valdosta State University","Georgia",43400,81000,57,7,"17","8404","13","13",1,"Doctoral/Professional Universities"
"168",20,"Georgia College & State University","Georgia",45300,80300,51,12,"18","5834","32","13",1,"Master's Colleges & Universities: Larger Programs"
"169",21,"Savannah College of Art and Design","Georgia",46800,80100,34,3,"30","11363","12","16",2,"Special Focus Four-Year: Arts, Music & Design Schools"
"170",22,"Shorter University","Georgia",45600,79900,55,6,"20","1211","13","11",2,"Master's Colleges & Universities: Small Programs"
"171",23,"Middle Georgia State University","Georgia",44000,79800,57,11,"22","6931","12","13",1,"Baccalaureate Colleges: Diverse Fields"
"172",24,"Covenant College","Georgia",44400,79400,62,19,"21","971","41","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"173",25,"Columbus State University","Georgia",43300,77900,59,10,"18","6266","12","12",1,"Master's Colleges & Universities: Larger Programs"
"174",1,"Brigham Young University-Hawaii","Hawaii",51700,93900,57,12,"22","3040","31","11",2,"Baccalaureate Colleges: Diverse Fields"
"175",2,"Hawaii Pacific University","Hawaii",52200,93500,56,15,"18","3160","11","12",2,"Master's Colleges & Universities: Larger Programs"
"176",3,"University of Hawaii at Manoa","Hawaii",51600,91600,56,18,"15","12609","11","16",1,"Doctoral Universities: Very High Research Activity"
"177",4,"Chaminade University of Honolulu","Hawaii",45400,84000,55,3,"18","1621","11","9",2,"Master's Colleges & Universities: Larger Programs"
"178",5,"University of Hawaii at Hilo","Hawaii",44000,77200,59,14,"17","2681","33","13",1,"Doctoral/Professional Universities"
"179",6,"University of Hawaii-West Oahu","Hawaii",41300,74300,56,0,"22","2743","21","9",1,"Baccalaureate Colleges: Diverse Fields"
"180",1,"University of Idaho","Idaho",52300,97700,54,22,"16","7528","41","13",1,"Doctoral Universities: High Research Activity"
"181",2,"Brigham Young University-Idaho","Idaho",53700,93500,59,14,"22","37636","32","15",2,"Baccalaureate Colleges: Diverse Fields"
"182",3,"Idaho State University","Idaho",50800,91800,64,12,"16","7593","13","12",1,"Doctoral Universities: High Research Activity"
"183",4,"Boise State University","Idaho",50100,86400,55,14,"16","16526","12","15",1,"Doctoral Universities: High Research Activity"
"184",5,"The College of Idaho","Idaho",44700,82100,48,17,"21","939","22","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"185",6,"Northwest Nazarene University","Idaho",46200,80600,68,7,"18","1268","22","11",2,"Master's Colleges & Universities: Larger Programs"
"186",7,"Lewis-Clark State College","Idaho",44900,77600,60,5,"22","2787","13","9",1,"Baccalaureate Colleges: Diverse Fields"
"187",1,"Illinois Institute of Technology","Illinois",64600,118500,47,64,"16","2924","11","14",2,"Doctoral Universities: High Research Activity"
"188",2,"Northwestern University","Illinois",63400,115400,46,20,"15","8451","13","16",2,"Doctoral Universities: Very High Research Activity"
"189",3,"University of Illinois at Urbana-Champaign","Illinois",62600,115300,44,36,"15","32974","13","17",1,"Doctoral Universities: Very High Research Activity"
"190",4,"University of Chicago","Illinois",64000,114200,41,22,"15","6600","11","17",2,"Doctoral Universities: Very High Research Activity"
"191",5,"Rush University","Illinois",63500,107600,88,6,"25","120","11","9",2,"Special Focus Four-Year: Medical Schools & Centers"
"192",6,"Bradley University","Illinois",55600,104900,46,38,"18","4598","12","13",2,"Master's Colleges & Universities: Larger Programs"
"193",7,"University of Illinois at Chicago","Illinois",56300,103800,48,31,"15","20435","11","15",1,"Doctoral Universities: Very High Research Activity"
"194",8,"DePaul University","Illinois",55700,102900,43,15,"16","14280","11","15",2,"Doctoral Universities: High Research Activity"
"195",9,"Lake Forest College","Illinois",55400,102600,46,21,"21","1466","21","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"196",10,"St. John's College-Department of Nursing","Illinois",55100,1e+05,NA,0,"26","122","12","6",2,"Special Focus Four-Year: Other Health Professions Schools"
"197",11,"Wheaton College (Illinois)","Illinois",53700,99700,55,12,NA,NA,NA,NA,NA,NA
"198",12,"Illinois Wesleyan University","Illinois",53100,96000,44,18,"21","1686","13","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"199",12,"Loyola University Chicago","Illinois",53400,96000,45,15,"16","11727","11","16",2,"Doctoral Universities: High Research Activity"
"200",14,"Northern Illinois University","Illinois",53000,95500,47,20,"16","12761","23","16",1,"Doctoral Universities: High Research Activity"
"201",15,"Knox College","Illinois",50600,95400,45,24,"21","1318","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"202",16,"Illinois State University","Illinois",51200,95000,47,10,"16","18044","22","16",1,"Doctoral Universities: High Research Activity"
"203",17,"Principia College","Illinois",52600,94900,56,19,"21","441","41","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"204",18,"Lakeview College of Nursing","Illinois",55000,94100,83,0,"26","166","13","6",2,"Special Focus Four-Year: Other Health Professions Schools"
"205",19,"North Central College","Illinois",50400,92900,45,9,"19","2641","12","11",2,"Master's Colleges & Universities: Medium Programs"
"206",20,"Saint Xavier University","Illinois",49400,91200,60,10,"18","2943","11","12",2,"Master's Colleges & Universities: Larger Programs"
"207",21,"Southern Illinois University-Carbondale","Illinois",49700,90900,54,17,"16","9447","13","16",1,"Doctoral Universities: High Research Activity"
"208",22,"Saint Francis Medical Center College of Nursing","Illinois",52800,90800,NA,0,"26","386","12","6",2,"Special Focus Four-Year: Other Health Professions Schools"
"209",23,"Methodist College","Illinois",51400,90500,NA,0,"26","687","12","6",2,"Special Focus Four-Year: Other Health Professions Schools"
"210",24,"Southern Illinois University-Edwardsville","Illinois",51400,90100,50,21,"17","10786","21","16",1,"Doctoral/Professional Universities"
"211",25,"Lewis University","Illinois",49700,89800,53,14,"18","4217","21","13",2,"Master's Colleges & Universities: Larger Programs"
"212",1,"Rose-Hulman Institute of Technology","Indiana",75000,135800,51,96,"27","2073","13","11",2,"Special Focus Four-Year: Engineering Schools"
